,file_name,page_nr,panel_nr,balloon_nr,utterance,raw_annotation,raw_emotion,raw_speaker_id,emotion,speaker_id,split
0,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,2,1,DID YOU HAVE TO ELECTROCUTE HER SO HARD?,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE3-SA0-SU5-JO0

2024-09-05 - aidaraliev12345
SpokenBy:ID-1","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE3-SA0-SU5-JO0","2024-09-05 - aidaraliev12345
SpokenBy:ID-1",AN0-DI0-FE3-SA0-SU5-JO0,ID-1,TEST
1,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,2,2,IT'S NOT LIKE I HAVE DIFFERENT SETTINGS.,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU5-JO0

2024-09-05 - aidaraliev12345
SpokenBy:ID-2","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU5-JO0","2024-09-05 - aidaraliev12345
SpokenBy:ID-2",AN0-DI0-FE0-SA0-SU5-JO0,ID-2,TEST
2,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,2,3,YOU'RE ELECTROCUTIONER. IT'S YOUR WHOLE THING. YOU'D THINK YOU'D HAVE SOME DEGREE OF CONTROL?,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE2-SA0-SU0-JO0

2024-09-05 - aidaraliev12345
SpokenBy:ID-1","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE2-SA0-SU0-JO0","2024-09-05 - aidaraliev12345
SpokenBy:ID-1",AN0-DI0-FE2-SA0-SU0-JO0,ID-1,TEST
3,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,3,1,"OH, HEY. I THINK SHE'S AWAKE.","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU4-JO0

2024-09-05 - aidaraliev12345
SpokenBy:ID-2","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU4-JO0","2024-09-05 - aidaraliev12345
SpokenBy:ID-2",AN0-DI0-FE0-SA0-SU4-JO0,ID-2,TEST
4,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,4,1,"WELCOME BACK, MADAM MAYOR. BLOCKBUSTER IS PRETTY PISSED WITH YOU.","2024-08-27 - aselermekova20
Feeling:AN3-DI0-FE0-SA0-SU0-JO0

2024-09-05 - aidaraliev12345
SpokenBy:ID-1","2024-08-27 - aselermekova20
Feeling:AN3-DI0-FE0-SA0-SU0-JO0","2024-09-05 - aidaraliev12345
SpokenBy:ID-1",AN3-DI0-FE0-SA0-SU0-JO0,ID-1,TEST
5,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,4,2,HE KNOWS YOU'RE WORKING WITH DICK GRAYSON.,"2024-08-27 - aselermekova20
Feeling:AN3-DI0-FE0-SA0-SU5-JO0

2024-09-05 - aidaraliev12345
SpokenBy:ID-1","2024-08-27 - aselermekova20
Feeling:AN3-DI0-FE0-SA0-SU5-JO0","2024-09-05 - aidaraliev12345
SpokenBy:ID-1",AN3-DI0-FE0-SA0-SU5-JO0,ID-1,TEST
6,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,4,3,HE WANTS ME TO GET INFORMATION OUT OF YOU.,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU0-JO3

2024-09-05 - aidaraliev12345
SpokenBy:ID-1","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU0-JO3","2024-09-05 - aidaraliev12345
SpokenBy:ID-1",AN0-DI0-FE0-SA0-SU0-JO3,ID-1,TEST
7,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,6,1,"SHE'S AWAKE, BOSS. SHE--","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU0-JO3

2024-09-05 - aidaraliev12345
SpokenBy:ID-1","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU0-JO3","2024-09-05 - aidaraliev12345
SpokenBy:ID-1",AN0-DI0-FE0-SA0-SU0-JO3,ID-1,TEST
8,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,3,3,1,CAN YOU WALK?,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE5-SA0-SU0-JO0

2024-09-05 - aidaraliev12345
SpokenBy:NIGHTWING","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE5-SA0-SU0-JO0","2024-09-05 - aidaraliev12345
SpokenBy:NIGHTWING",AN0-DI0-FE5-SA0-SU0-JO0,NIGHTWING,TEST
9,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,3,3,2,HOW DID YOU FIND ME?,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU5-JO0

2024-09-05 - aidaraliev12345
SpokenBy:MELINDA","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU5-JO0","2024-09-05 - aidaraliev12345
SpokenBy:MELINDA",AN0-DI0-FE0-SA0-SU5-JO0,MELINDA,TEST
10,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,3,3,3,ORACLE HAD THE LAST PING OFF YOUR PHONE. AND AUDRE FOLLOWED BLOCKBUSTER'S LIMO.,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU0-JO5

2024-09-05 - aidaraliev12345
SpokenBy:NIGHTWING","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU0-JO5","2024-09-05 - aidaraliev12345
SpokenBy:NIGHTWING",AN0-DI0-FE0-SA0-SU0-JO5,NIGHTWING,TEST
11,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,3,4,1,AUDRE'S HERE?,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE3-SA0-SU5-JO0

2024-09-05 - aidaraliev12345
SpokenBy:MELINDA","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE3-SA0-SU5-JO0","2024-09-05 - aidaraliev12345
SpokenBy:MELINDA",AN0-DI0-FE3-SA0-SU5-JO0,MELINDA,TEST
12,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,3,4,2,IN A CAR OUTSIDE.,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU0-JO3

2024-09-05 - aidaraliev12345
SpokenBy:NIGHTWING","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE0-SA0-SU0-JO3","2024-09-05 - aidaraliev12345
SpokenBy:NIGHTWING",AN0-DI0-FE0-SA0-SU0-JO3,NIGHTWING,TEST
13,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,3,4,3,SHE WASN'T SUPPOSED TO FOLLOW. I TOLD HER I'D BE OKAY.,"2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE3-SA0-SU0-JO0

2024-09-05 - aidaraliev12345
SpokenBy:MELINDA","2024-08-27 - aselermekova20
Feeling:AN0-DI0-FE3-SA0-SU0-JO0","2024-09-05 - aidaraliev12345
SpokenBy:MELINDA",AN0-DI0-FE3-SA0-SU0-JO0,MELINDA,TEST
